Model,Image,Size,Refresh Rate,Resolution,Display Type,Surface,Ratio,PPI,Nits,CPU,GPU,Weight,Height,Price (RRP)
Acer Nitro 5 AN517-41-R9S5,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,264 cd/m²,R7 5800H,GeForce RTX 3080 Laptop GPU,2.7 kg,24.9 mm,1999 Euro
Acer Nitro 5 AN517-41-R9S5,,"17.30""",144 Hz,1920x1080,,matte,16:9,127 PPI,,R7 5800H,GeForce RTX 3080 Laptop GPU,,,
Acer Nitro 5 AN517-42-R5A1,,"17.30""",144 Hz,1920x1080,,matte,16:9,127 PPI,,R7 6800H,GeForce RTX 3060 Laptop GPU,3 kg,27.9 mm,
Acer Nitro 5 AN517-51-55ML,,"17.30""",120 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i5-9300H,GeForce GTX 1650 Mobile,2.7 kg,25.9 mm,1000 Euro
Acer Nitro 5 AN517-51-748R,,"17.30""",120 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-9750H,GeForce GTX 1660 Ti Mobile,2.7 kg,25.9 mm,1350 Euro
Acer Nitro 5 AN517-51-75JE,,"17.30""",120 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-9750H,GeForce RTX 2060 Mobile,2.7 kg,25.9 mm,1700 Euro
Acer Nitro 5 AN517-51-76B3,,"17.30""",120 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-9750H,GeForce GTX 1660 Ti Mobile,2.7 kg,25.9 mm,1400 Euro
Acer Nitro 5 AN517-51-76V6,,"17.30""",144 Hz,1920x1080,IPS,matte,16:9,127 PPI,,i7-9750H,GeForce RTX 2060 Mobile,2.7 kg,25.9 mm,
Acer Nitro 5 AN517-52,,"17.30""",144 Hz,1920x1080,,matte,16:9,127 PPI,,i5-10300H,GeForce RTX 2060 Mobile,2.2 kg,24.9 mm,
Acer Nitro 5 AN517-52-51JW,,"17.30""",144 Hz,1920x1080,,,16:9,127 PPI,,i5-10300H,GeForce RTX 3050 Ti Laptop GPU,2.2 kg,24.9 mm,1100 Euro
